species,population.ID,taxon,Citation,Life.Stage,Sex.Ratio,SuperTaxa,LifeHistory,N,sex.determination,SDM.Type,SDM.Type.conservative,sex.det.source,Notes
Acanthodactylus_erythrurus,1,lizards,1039,adult.sex.ratio,0.59,squamatara,S,166,GSD,GSD,GSD,species.in.TreeOfSex,NA
Acanthodactylus_erythrurus,1,lizards,1039,juvenile.sex.ratio,0.579,squamatara,S,114,GSD,GSD,GSD,species.in.TreeOfSex,NA
Acritoscincus_duperreyi,CK1,lizards,"Shine, R., Elphick, M. J., & Harlow, P. S. (1997). The influence of natural incubation environments on the phenotypic traits of hatchling lizards. Ecology, 78(8), 2559-2568.",birth.sex.ratio,0.50625,squamatara,S,320,GSD,GSD,GSD,species.in.TreeOfSex,Written as Bassiana_duperreyi in tree of sex
Actinemys_marmorata,12,turtles,526,adult.sex.ratio,0.413,crocoturtle,CTT,281,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Actinemys_marmorata,9,turtles,525,adult.sex.ratio,0.62,crocoturtle,CTT,221,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Actinemys_marmorata,8,turtles,"518,  519",adult.sex.ratio,0.573,crocoturtle,CTT,82,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Actinemys_marmorata,3,turtles,520,adult.sex.ratio,0.514,crocoturtle,CTT,37,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Actinemys_marmorata,10,turtles,526,adult.sex.ratio,0.595,crocoturtle,CTT,79,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Actinemys_marmorata,13,turtles,524,adult.sex.ratio,0.539,crocoturtle,CTT,456,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Actinemys_marmorata,4,turtles,527,adult.sex.ratio,0.696,crocoturtle,CTT,102,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Actinemys_marmorata,5,turtles,532,adult.sex.ratio,0.679,crocoturtle,CTT,131,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Actinemys_marmorata,11,turtles,526,adult.sex.ratio,0.698,crocoturtle,CTT,86,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Actinemys_marmorata,14,turtles,528,adult.sex.ratio,0.517,crocoturtle,CTT,292,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Actinemys_marmorata,2,turtles,531,adult.sex.ratio,0.402,crocoturtle,CTT,241,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Actinemys_marmorata,6,turtles,529,adult.sex.ratio,0.529,crocoturtle,CTT,17,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Actinemys_marmorata,7,turtles,537,adult.sex.ratio,0.841,crocoturtle,CTT,52,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,NA
Agama_agama,15,lizards,1018,adult.sex.ratio,0.453,squamatara,S,53,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Agama_impalearis,16,lizards,1019,juvenile.sex.ratio,0.547,squamatara,S,148,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Agama_impalearis,CK2,lizards,"El Mouden, E. H., Znari, M., & Pieau, C. (2001). Effects of incubation temperature on embryonic development and sex determination in the North African agamid lizard, Agama impalearis. Herpetological Journal, 11(3), 101-108.",birth.sex.ratio,0.549180328,squamatara,S,122,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Agama_impalearis,16,lizards,1019,adult.sex.ratio,0.614,squamatara,S,277,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Agkistrodon_piscivorus,17,snakes,208,adult.sex.ratio,0.477,squamatara,S,132,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Aldabrachelys_gigantea,2032b,turtles,"2032, 2033",birth.sex.ratio,0.486,crocoturtle,CTT,37,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,Written as Aldabrachelys dussumieri in tree of sex data base; written as Dipsochelys dussemieri in turtle phylogeny file
Aldabrachelys_gigantea,ROSIE1,turtles,"Swingland, I. R., & Coe, M. J. (1979). The natural regulation of giant tortoise populations on Aldabra Atoll: Recruitment. Philosophical Transactions of the Royal Society of London B, 286, 177-188.",birth.sex.ratio,0.4875,crocoturtle,CTT,80,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,Written as Aldabrachelys dussumieri in tree of sex data base; written as Dipsochelys dussemieri in turtle phylogeny file
Aldabrachelys_gigantea,2033a,turtles,"2032, 2033",birth.sex.ratio,0.488,crocoturtle,CTT,43,TSD,TSD Ia,TSD Ia,species.in.TreeOfSex,Written as Aldabrachelys dussumieri in tree of sex data base; written as Dipsochelys dussemieri in turtle phylogeny file
Alligator_mississippiensis,CK3,crocs,"Elsey, R. M. & Lang, J. W. (2014). Sex ratios of wild American alligator hatchlings in southwest Louisiana. Southeastern Naturalist, 13(2), 191-199.",birth.sex.ratio,0.270938023,crocoturtle,CTT,7164,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Alligator_mississippiensis,CK5,crocs,"Rhodes, W. E., & Lang, J. W. (1995). Sex ratios of naturally-incubated alligator hatchlings: Field techniques and initial results. Proceedings of the Annual Conference of the Southeastern Association of Fish and Wildlife Agencies, 49, 640-646.",birth.sex.ratio,0.212082262,crocoturtle,CTT,778,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Alligator_mississippiensis,CK6,crocs,"Rhodes, W. E., & Lang, J. W. (1996). Alligator nest temperatures and hatchling sex ratios in coastal South Carolina. Proceedings of the Annual Conference of the Southeastern Association of Fish and Wildlife Agencies, 50, 520-531.",birth.sex.ratio,0.422839506,crocoturtle,CTT,648,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Alligator_mississippiensis,19,crocs,361,adult.sex.ratio,0.472,crocoturtle,CTT,123,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Alligator_mississippiensis,20,crocs,359,juvenile.sex.ratio,0.688,crocoturtle,CTT,1834,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Alligator_mississippiensis,CK4,crocs,"Ferguson, M. W. J., & Joanen, T. (1982). Temperature of egg incubation determines sex in Alligator mississippiensis. Nature, 296, 850-853.",birth.sex.ratio,0.169055858,crocoturtle,CTT,8092,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Alligator_mississippiensis,23,crocs,"354, m1",juvenile.sex.ratio,0.638,crocoturtle,CTT,4151,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Alligator_mississippiensis,20,crocs,359,adult.sex.ratio,0.49,crocoturtle,CTT,3372,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Alligator_mississippiensis,22,crocs,341,juvenile.sex.ratio,0.58,crocoturtle,CTT,2936,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Alligator_mississippiensis,19,crocs,361,juvenile.sex.ratio,0.607,crocoturtle,CTT,1700,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Amblyrhynchus_cristatus,26,lizards,"v14, v15",adult.sex.ratio,0.506,squamatara,S,917,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Amblyrhynchus_cristatus,26,lizards,"v14, v15",birth.sex.ratio,0.488,squamatara,S,1042,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Ameiva_erythrocephala,27,lizards,6,adult.sex.ratio,0.278,squamatara,S,18,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Amphibolurus_muricatus,30,lizards,1020,birth.sex.ratio,0.591,squamatara,S,22,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Amphibolurus_muricatus,29,lizards,1053,adult.sex.ratio,0.565,squamatara,S,23,TSD,TSD II,TSD II,species.in.TreeOfSex,NA
Anolis_angusticeps,32,lizards,"v2, v2new",adult.sex.ratio,0.463,squamatara,S,23,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Anolis_angusticeps,31,lizards,"v2, v2new",adult.sex.ratio,0.444,squamatara,S,10,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Anolis_carolinensis,33,lizards,9,adult.sex.ratio,0.474,squamatara,S,274,GSD,GSD,GSD,species.in.TreeOfSex,NA
Anolis_cupreus,35,lizards,mod.dec17,adult.sex.ratio,0.435,squamatara,S,168,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Anolis_cybotes,36,lizards,14,adult.sex.ratio,0.4,squamatara,S,45,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Anolis_distichus,38,lizards,"v2, v2new",adult.sex.ratio,0.545,squamatara,S,49,GSD,GSD,GSD,species.in.TreeOfSex,NA
Anolis_distichus,37,lizards,"v2, v2new",adult.sex.ratio,0.571,squamatara,S,12,GSD,GSD,GSD,species.in.TreeOfSex,NA
Anolis_equestris,39,lizards,18,adult.sex.ratio,0.565,squamatara,S,62,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Anolis_garmani,41,lizards,20,adult.sex.ratio,0.445,squamatara,S,1174,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Anolis_limifrons,44,lizards,v1,adult.sex.ratio,0.418,squamatara,S,349,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Anolis_limifrons,43,lizards,v1,adult.sex.ratio,0.522,squamatara,S,634,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Anolis_limifrons,46,lizards,v1,adult.sex.ratio,0.526,squamatara,S,291,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Anolis_limifrons,42,lizards,new1,adult.sex.ratio,0.559,squamatara,S,383,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Anolis_limifrons,45,lizards,v1,adult.sex.ratio,0.469,squamatara,S,439,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Anolis_limifrons,47,lizards,v1,adult.sex.ratio,0.543,squamatara,S,278,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Anolis_lineatopus,48,lizards,v3,birth.sex.ratio,0.5,squamatara,S,56,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Anolis_mariarum,49,lizards,g20,adult.sex.ratio,0.72,squamatara,S,100,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Anolis_mariarum,50,lizards,g20,adult.sex.ratio,0.576,squamatara,S,99,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Anolis_nebulosus,52,lizards,27,adult.sex.ratio,0.495,squamatara,S,297,GSD,GSD,GSD,species.in.TreeOfSex,NA
Anolis_sagrei,54,lizards,na1,birth.sex.ratio,0.52,squamatara,S,527,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Anolis_sagrei,55,lizards,"v2, v2new",adult.sex.ratio,0.475,squamatara,S,19,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Anolis_sagrei,56,lizards,"v2, v2new",adult.sex.ratio,0.433,squamatara,S,144,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Anolis_sagrei,57,lizards,"v2, v2new, m2",adult.sex.ratio,0.41,squamatara,S,141,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Anolis_schwartzi,58,lizards,34,adult.sex.ratio,0.398,squamatara,S,211,GSD,GSD,GSD,genus.or.family.in.TreeOfSex,NA
Apalone_spinifera,ROSIE2,turtles,"Vogt, R. C., & Bull, J. J. (1982). Genetic sex determination in the spiny softshell Trionyx spiniferus (Testudines: Trionychidae). Copeia, 1982(3), 699-700.",birth.sex.ratio,0.504854369,crocoturtle,CTT,103,GSD,GSD,GSD,Badenhorst_et_al._2013._Chromosome_Research,NA
Apalone_spinifera,59,turtles,139,adult.sex.ratio,0.641,crocoturtle,CTT,43,GSD,GSD,GSD,Badenhorst_et_al._2013._Chromosome_Research,NA
